TimeSecsClass,DownClass,yrdline100Class,FavScoreDiffClass,Pmodel
53,1,3,1,0.177963740204
53,2,3,1,0.41844562649
53,3,3,1,0.05915921474
53,4,3,1,0.524583048798
54,1,3,1,0.181863322794
54,2,3,1,0.421394457053
54,3,3,1,0.0598339327502
54,4,3,1,0.538832553399
55,1,3,1,0.182814150912
55,2,3,1,0.429019494015
55,3,3,1,0.0509467053758
55,4,3,1,0.546115763655
56,1,3,1,0.175662199637
56,2,3,1,0.430208986344
56,3,3,1,0.0598339327502
56,4,3,1,0.54963809358
57,1,3,1,0.178318656795
57,2,3,1,0.442178334644
57,3,3,1,0.0391730772834
57,4,3,1,0.549263978948
58,1,3,1,0.183665804912
58,2,3,1,0.445669679937
58,3,3,1,0.0475537092932
58,4,3,1,0.555697835434
59,1,3,1,0.186617463383
59,2,3,1,0.452997172438
59,3,3,1,0.0598339327502
59,4,3,1,0.582303117916
60,1,3,1,0.187568291501
60,2,3,1,0.451073977348
60,3,3,1,0.05241402574
60,4,3,1,0.585435809953
0,1,4,1,0.110767058466
0,2,4,1,0.11921506682
0,3,4,1,0.197990654921
0,4,4,1,0.0702283432765
1,1,4,1,0.116760128087
1,2,4,1,0.122700759401
1,3,4,1,0.197482637542
1,4,4,1,0.0836296045599
2,1,4,1,0.119476398594
2,2,4,1,0.123496080133
2,3,4,1,0.19084319887
2,4,4,1,0.0886226854023
3,1,4,1,0.122261331438
3,2,4,1,0.125722631202
3,3,4,1,0.185235132819
3,4,4,1,0.0923184245374
4,1,4,1,0.124574286337
4,2,4,1,0.128684459351
4,3,4,1,0.180683364245
4,4,4,1,0.102000352084
5,1,4,1,0.138861848464
5,2,4,1,0.141841983297
5,3,4,1,0.184878246314
5,4,4,1,0.118973069291
6,1,4,1,0.14853196411
6,2,4,1,0.146455932725
6,3,4,1,0.180792574547
6,4,4,1,0.121191004713
7,1,4,1,0.138314926976
7,2,4,1,0.148270395442
7,3,4,1,0.189091666933
7,4,4,1,0.156760380997
8,1,4,1,0.159863808166
8,2,4,1,0.152830659716
8,3,4,1,0.167482421131
8,4,4,1,0.125758672741
9,1,4,1,0.138998764748
9,2,4,1,0.138816280766
9,3,4,1,0.152598079661
9,4,4,1,0.131543255957
10,1,4,1,0.154972784478
10,2,4,1,0.150732378469
10,3,4,1,0.154616317265
10,4,4,1,0.141044900868
11,1,4,1,0.164498160785
11,2,4,1,0.148362574073
11,3,4,1,0.142043342415
11,4,4,1,0.142651300526
12,1,4,1,0.162210758797
12,2,4,1,0.161092553664
12,3,4,1,0.155992092255
12,4,4,1,0.168546844151
13,1,4,1,0.169853640378
13,2,4,1,0.165221337003
13,3,4,1,0.146452761925
13,4,4,1,0.169898827933
14,1,4,1,0.165110714565
14,2,4,1,0.161330511998
14,3,4,1,0.137448483904
14,4,4,1,0.169370834736
15,1,4,1,0.158941236796
15,2,4,1,0.151429102207
15,3,4,1,0.122677631776
15,4,4,1,0.165758010173
16,1,4,1,0.18323267084
16,2,4,1,0.174321799015
16,3,4,1,0.138413986017
16,4,4,1,0.192800801184
17,1,4,1,0.180041518078
17,2,4,1,0.173587667545
17,3,4,1,0.132555649817
17,4,4,1,0.201484865716
18,1,4,1,0.190747795091
18,2,4,1,0.176488353898
18,3,4,1,0.116468746148
18,4,4,1,0.188656407002
19,1,4,1,0.185432365769
19,2,4,1,0.172256301776
19,3,4,1,0.109043301862
19,4,4,1,0.19144224378
20,1,4,1,0.167049695335
20,2,4,1,0.161646425817
20,3,4,1,0.0969990390092
20,4,4,1,0.19756643456
21,1,4,1,0.172039797468
21,2,4,1,0.165221582777
21,3,4,1,0.0916899890459
21,4,4,1,0.203456345102
22,1,4,1,0.180830419652
22,2,4,1,0.169724483856
22,3,4,1,0.0863809390826
22,4,4,1,0.209346255644
23,1,4,1,0.183406496725
23,2,4,1,0.1709068781
23,3,4,1,0.0810718891193
23,4,4,1,0.215236166186
24,1,4,1,0.187119744501
24,2,4,1,0.174185605934
24,3,4,1,0.075762839156
24,4,4,1,0.221126076728
25,1,4,1,0.190134529608
25,2,4,1,0.176416166974
25,3,4,1,0.0704537891927
25,4,4,1,0.227015987271
26,1,4,1,0.193149314715
26,2,4,1,0.178646728012
26,3,4,1,0.0651447392294
26,4,4,1,0.232905897812
27,1,4,1,0.196164099823
27,2,4,1,0.180877289051
27,3,4,1,0.0598356892661
27,4,4,1,0.238795808355
28,1,4,1,0.19917888493
28,2,4,1,0.18310785009
28,3,4,1,0.0598339327502
28,4,4,1,0.244685718897
29,1,4,1,0.202193670036
29,2,4,1,0.185338411128
29,3,4,1,0.0598339327502
29,4,4,1,0.250575629438
30,1,4,1,0.205208455143
30,2,4,1,0.187078181072
30,3,4,1,0.0598339327502
30,4,4,1,0.24162572596
31,1,4,1,0.208223240251
31,2,4,1,0.189799533206
31,3,4,1,0.0598339327502
31,4,4,1,0.262355450523
32,1,4,1,0.211238025358
32,2,4,1,0.192030094245
32,3,4,1,0.0576334339827
32,4,4,1,0.268245361065
33,1,4,1,0.21189386767
33,2,4,1,0.192723427821
33,3,4,1,0.0598339327502
33,4,4,1,0.274135271607
