TimeSecsClass,p1,p2,p3,p4,DownClass,yrdline100Class,FavScoreDiffClass
0,,,0.0957466568208,,1,2,1
0,0.231292517006,,0.0591207305149,,2,2,1
0,,,0.119483637889,,3,2,1
0,,,0.185955606947,,4,2,1
1,,0.0236454428813,0.0981856447354,,1,2,1
1,,,0.0594317367553,,2,2,1
1,,0.00198604134041,0.118793347772,,3,2,1
1,,0.124614270282,0.164219151287,,4,2,1
2,,0.0586694708223,0.10062463265,0.142482695626,1,2,1
2,,0.123076152221,0.0597427429956,0.142482695626,2,2,1
2,,0.060200823256,0.118103057655,0.142482695626,3,2,1
2,,0.142482695626,0.142482695626,0.142482695626,4,2,1
3,,0.0992023648854,0.103063620565,0.0683616847085,1,2,1
3,,0.103448736136,0.0600537492359,0.0873622073057,2,2,1
3,,0.103881385163,0.117412767539,0.106362729903,3,2,1
3,,0.467467353994,0.120746239965,0.1253632525,4,2,1
4,,0.14570416561,0.105502608479,0.213498545733,1,2,1
4,,0.0209811268397,0.0603647554763,0.175335625257,2,2,1
4,,0.0660768953079,0.116722477422,0.137172704781,3,2,1
4,,0.0814039349308,0.0990097843049,0.0990097843049,4,2,1
5,,0.157879314401,0.107941596394,0.159226667939,1,2,1
5,,0.0891132490896,0.0606757617166,0.159226667939,2,2,1
5,,0.18964888586,0.116032187305,0.159226667939,3,2,1
5,,0.0477177596364,0.0772733286444,0.159226667939,4,2,1
6,,0.102896368064,0.110380584308,0.102945703538,1,2,1
6,,0.0894047853057,0.0609867679569,0.0504566902996,2,2,1
6,,0.0253139743823,0.115341897188,,3,2,1
6,,,0.0555368729838,,4,2,1
7,,0.0268041909029,0.112819572223,0.0541183388444,1,2,1
7,,0.117562344417,0.0612977741973,0.0703205586389,2,2,1
7,,0.0912512281929,0.114651607071,0.0865227784334,3,2,1
7,,,0.0338004173233,0.102724998228,4,2,1
8,,0.276005366656,0.115258560137,,1,2,1
8,,0.0649574395874,0.0616087804376,,2,2,1
8,0.00644339953152,0.0815369632846,0.113961316955,,3,2,1
8,,0.0775167627942,0.0120639616627,,4,2,1
9,,0.233094630016,0.117697548052,,1,2,1
9,,0.148155857705,0.0619197866779,,2,2,1
9,,0.197829466505,0.113271026838,,3,2,1
9,,0.0560471594996,,,4,2,1
10,,0.1130593569,0.120136535967,,1,2,1
10,,,0.0622307929183,,2,2,1
10,,0.0305463988422,0.112580736721,,3,2,1
10,,,,,4,2,1
11,,0.151936111093,0.122575523881,,1,2,1
11,,0.0054170595516,0.0625417991586,,2,2,1
11,,0.198984782045,0.111890446604,,3,2,1
11,,0.11708343094,,,4,2,1
12,,0.100129962028,0.125014511796,0.108927909003,1,2,1
12,,0.131629713752,0.0628528053989,0.108927909003,2,2,1
12,,0.0944744229002,0.111200156487,0.108927909003,3,2,1
12,,0.211007214181,,0.108927909003,4,2,1
13,,0.110727509668,0.12745349971,0.161916120316,1,2,1
13,,0.0664448300765,0.0631638116393,0.019040528182,2,2,1
13,,0.217793046581,0.110509866371,,3,2,1
13,,,,,4,2,1
14,,0.0834725811085,0.129892487625,,1,2,1
14,,0.0119339279854,0.0634748178796,,2,2,1
14,,0.0307398566475,0.109819576254,,3,2,1
14,,0.0919437004948,,,4,2,1
15,,0.03432334679,0.132331475539,,1,2,1
15,,0.176864433604,0.0637858241199,,2,2,1
15,,0.0171235617693,0.109129286137,,3,2,1
15,,0.184018274673,,,4,2,1
16,,0.0259999073143,0.134770463454,,1,2,1
16,,0.188181403749,0.0640968303603,,2,2,1
16,,0.0512562858804,0.10843899602,,3,2,1
16,,0.165053947073,,,4,2,1
17,,0.154121469355,0.137209451369,0.163979319372,1,2,1
17,,0.177486264457,0.0644078366006,0.163979319372,2,2,1
17,,0.00341355427473,0.107748705903,0.163979319372,3,2,1
17,,,,0.163979319372,4,2,1
18,,0.172714754232,0.139648439283,0.0437358491056,1,2,1
18,,0.0625949131861,0.0647188428409,0.0437358491056,2,2,1
18,,0.0537176503372,0.107058415787,0.0437358491056,3,2,1
18,,,,0.0437358491056,4,2,1
19,,0.0165491179071,0.142087427198,,1,2,1
19,,0.115445581897,0.0650298490813,,2,2,1
19,,0.0139353797049,0.10636812567,,3,2,1
19,,0.128018038136,,,4,2,1
20,,0.70499243113,0.144526415112,,1,2,1
20,,0.311484817127,0.0653408553216,,2,2,1
20,,,0.105677835553,,3,2,1
20,,,,,4,2,1
21,,0.527287499445,0.146965403027,,1,2,1
21,,0.139591742724,0.0656518615619,,2,2,1
21,,,0.104987545436,,3,2,1
21,,,,,4,2,1
22,,0.0159569436906,0.149404390942,,1,2,1
22,,,0.0659628678023,,2,2,1
22,,,0.104297255319,,3,2,1
22,,,,,4,2,1
23,,0.0429071439045,0.151843378856,,1,2,1
23,,0.0643897599171,0.0662738740426,,2,2,1
23,,,0.103606965203,,3,2,1
23,,,,,4,2,1
24,,,0.154282366771,,1,2,1
24,,,0.0665848802829,,2,2,1
24,,,0.102916675086,,3,2,1
24,,,,,4,2,1
25,,,0.156721354685,,1,2,1
25,,,0.0668958865233,,2,2,1
25,,,0.102226384969,,3,2,1
25,,,,,4,2,1
26,,,0.1591603426,,1,2,1
26,,,0.0672068927636,,2,2,1
26,,,0.101536094852,,3,2,1
26,,,,,4,2,1
27,,,0.161599330514,,1,2,1
27,,,0.0675178990039,,2,2,1
27,,,0.100845804735,,3,2,1
27,0.0431566421864,,,,4,2,1
28,,,0.164038318429,,1,2,1
28,,,0.0678289052443,,2,2,1
28,0.0924930602692,,0.100155514619,,3,2,1
28,0.0286793364528,,,,4,2,1
29,,,0.166477306344,,1,2,1
29,0.379532312783,,0.0681399114846,,2,2,1
29,0.3578125,,0.0994652245017,,3,2,1
29,0.0894308943081,,,,4,2,1
30,0.366305055913,,0.168916294258,,1,2,1
30,0.228215843689,,0.0684509177249,,2,2,1
30,0.0584045584044,,0.0987749343849,,3,2,1
30,0.0884615384613,,,,4,2,1
31,,,0.171355282173,,1,2,1
31,,,0.0687619239653,,2,2,1
31,,,0.0980846442681,,3,2,1
31,,,,,4,2,1
32,,,0.173794270087,,1,2,1
32,,,0.0690729302056,,2,2,1
32,,0.135178473405,0.0973943541513,,3,2,1
32,,,,,4,2,1
33,,0.144911822088,0.176233258002,0.144911822088,1,2,1
33,,0.0944331643062,0.0693839364459,0.0944331643062,2,2,1
33,,,0.0967040640345,0.0439545065244,3,2,1
33,,,,,4,2,1
34,,0.108869593148,0.178672245916,,1,2,1
34,,,0.0696949426863,,2,2,1
34,,,0.0960137739177,,3,2,1
34,0.0875339185957,,,,4,2,1
35,,0.183836736526,0.181111233831,,1,2,1
