DownClass,FavScoreDiffClass,yrdline100Class,TimeSecsClass,counts
4,1,5,18,0.5
1,1,5,19,0.5
2,1,5,19,0.5
3,1,5,19,0.5
4,1,5,19,0.5
1,1,5,20,0.5
2,1,5,20,0.5
3,1,5,20,0.5
4,1,5,20,0.5
1,1,5,21,0.5
2,1,5,21,0.5
3,1,5,21,0.5
4,1,5,21,0.5
1,1,5,22,0.5
2,1,5,22,0.5
3,1,5,22,0.5
4,1,5,22,0.5
1,1,5,23,0.5
2,1,5,23,0.5
3,1,5,23,0.5
4,1,5,23,0.5
1,1,5,24,0.5
2,1,5,24,0.5
3,1,5,24,0.5
4,1,5,24,0.5
1,1,5,25,0.5
2,1,5,25,0.5
3,1,5,25,0.5
4,1,5,25,0.5
1,1,5,26,0.5
2,1,5,26,0.5
3,1,5,26,0.5
4,1,5,26,0.5
1,1,5,27,0.5
2,1,5,27,0.5
3,1,5,27,0.5
4,1,5,27,0.5
1,1,5,28,0.5
2,1,5,28,0.5
3,1,5,28,0.5
4,1,5,28,0.5
1,1,5,29,0.5
2,1,5,29,0.5
3,1,5,29,0.5
4,1,5,29,0.5
1,1,5,30,0.5
2,1,5,30,0.5
3,1,5,30,0.5
4,1,5,30,0.5
1,1,5,31,0.5
2,1,5,31,0.5
3,1,5,31,0.5
4,1,5,31,0.5
1,1,5,32,0.5
2,1,5,32,0.5
3,1,5,32,0.5
4,1,5,32,0.5
1,1,5,33,0.5
2,1,5,33,0.5
3,1,5,33,0.5
4,1,5,33,0.5
1,1,5,34,0.5
2,1,5,34,0.5
3,1,5,34,0.5
4,1,5,34,0.5
